Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.5,1.05,1.95,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.5,1.05,1.95,uniform,float,,
Lights,Auditorium_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,9.68,6.776,12.584,uniform,float,G0001,
Lights,Aux_Gym_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Bathrooms_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,9.68,6.776,12.584,uniform,float,G0001,
Lights,Bathrooms_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,9.68,6.776,12.584,uniform,float,G0001,
Lights,Cafeteria_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_1_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_1_Pod_1_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_1_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_1_Pod_2_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_1_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_1_Pod_3_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_2_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_2_Pod_1_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_2_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_2_Pod_2_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_2_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corner_Class_2_Pod_3_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corridor_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Corridor_Pod_1_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Corridor_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Corridor_Pod_2_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Corridor_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Corridor_Pod_3_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Gym_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Kitchen_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,12.91,9.037,16.783,uniform,float,,
Lights,LIBRARY_MEDIA_CENTER_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,G0004,
Lights,Lobby_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,G0004,
Lights,Lobby_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,G0004,
Lights,Main_Corridor_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Main_Corridor_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,Mech_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,16.14,11.298,20.982,uniform,float,,
Lights,Mech_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,16.14,11.298,20.982,uniform,float,,
Lights,Mult_Class_1_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_1_Pod_1_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_1_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_1_Pod_2_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_1_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_1_Pod_3_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_2_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_2_Pod_1_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_2_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_2_Pod_2_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_2_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Mult_Class_2_Pod_3_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0002,
Lights,Offices_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,,
Lights,Offices_ZN_1_FLR_2_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,,
ElectricEquipment,Auditorium_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,5,3.5,6.5,uniform,float,,
ElectricEquipment,Aux_Gym_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,5,3.5,6.5,uniform,float,,
ElectricEquipment,Bathrooms_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Bathrooms_ZN_1_FLR_2_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Cafeteria_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,19.26,13.482,25.038,uniform,float,,
ElectricEquipment,Corner_Class_1_Pod_1_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,10,7,13,uniform,float,G0005,
ElectricEquipment,Corner_Class_1_Pod_1_ZN_1_FLR_2_PlugMisc_Equip,Watts per Zone Floor Area,10,7,13,uniform,float,G0005,
ElectricEquipment,Corner_Class_1_Pod_2_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,10,7,13,uniform,float,G0005,
