Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,CorridorFlr1_Lights,Watts per Zone Floor Area,5.38,3.776,6.994,uniform,float,G0001,
Lights,CorridorFlr2_Lights,Watts per Zone Floor Area,5.38,3.776,6.994,uniform,float,G0001,
Lights,CorridorFlr3_Lights,Watts per Zone Floor Area,5.38,3.776,6.994,uniform,float,G0001,
Lights,CorridorFlr4_Lights,Watts per Zone Floor Area,5.38,3.776,6.994,uniform,float,G0001,
Lights,EmployeeLoungeFlr1_Lights,Watts per Zone Floor Area,12.9,9.03,16.77,uniform,float,,
Lights,ExerciseCenterFlr1_Lights,Watts per Zone Floor Area,9.7,6.79,12.61,uniform,float,,
Lights,FrontLoungeFlr1_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,FrontOfficeFlr1_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,FrontStairsFlr1_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,FrontStairsFlr2_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,FrontStairsFlr3_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,FrontStairsFlr4_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,FrontStorageFlr1_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,FrontStorageFlr2_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,FrontStorageFlr3_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,FrontStorageFlr4_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,GuestRoom101_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom102_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom103_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom104_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom105_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom201_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom202_205_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom206_208_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom209_212_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom213_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom214_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom215_218_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom219_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom220_223_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom224_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom301_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom302_305_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom306_308_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom309_312_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom313_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom314_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom315_318_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom319_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom320_323_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom324_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom401_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom402_405_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom406_408_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom409_412_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom413_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom414_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom415_418_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom419_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,GuestRoom420_423_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
