Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,LGstore1_Lights,Watts per Zone Floor Area,23.99,16.793,31.187,uniform,float,,
Lights,LGstore2_Lights,Watts per Zone Floor Area,13.77,9.639,17.901,uniform,float,G0001,
Lights,SMstore1_Lights,Watts per Zone Floor Area,23.99,16.793,31.187,uniform,float,,
Lights,SMstore2_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,G0002,
Lights,SMstore3_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,G0002,
Lights,SMstore4_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,G0002,
Lights,SMstore5_Lights,Watts per Zone Floor Area,13.77,9.639,17.901,uniform,float,G0001,
Lights,SMstore6_Lights,Watts per Zone Floor Area,13.77,9.639,17.901,uniform,float,G0001,
Lights,SMstore7_Lights,Watts per Zone Floor Area,13.77,9.639,17.901,uniform,float,G0001,
Lights,SMstore8_Lights,Watts per Zone Floor Area,13.77,9.639,17.901,uniform,float,G0001,
ElectricEquipment,LGstore1_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,LGstore2_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore1_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore2_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore3_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore4_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore5_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore6_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore7_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
ElectricEquipment,SMstore8_MiscPlug_Equip,Watts per Zone Floor Area,4.3,3.01,5.59,uniform,float,G0003,
Exterior:Lights,Exterior Facade Lighting,Design Level,11485,8039.5,14930.5,uniform,float,,
ZoneInfiltration:DesignFlowRate,LGstore1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,LGstore2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore5_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore7_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,SMstore8_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
Fan:OnOff,PSZ-AC_10:10_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_10:10_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_10:10_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_1:1_Unitary_Package_fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:OnOff,PSZ-AC_1:1_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_1:1_Unitary_Package_fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_2:2_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_2:2_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_2:2_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_3:3_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_3:3_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_3:3_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_4:4_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
