Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,Bakery_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
Lights,Deli_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
Lights,DryStorage_Lights,Watts per Zone Floor Area,8.61,6.027,11.193,uniform,float,,
Lights,Office_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,,
Lights,Produce_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
Lights,Sales_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
ElectricEquipment,Bakery_MiscPlug_Equip,Design Level,11244,7870.8,14617.2,uniform,float,,
ElectricEquipment,Deli_MiscPlug_Equip,Design Level,12105,8473.5,15736.5,uniform,float,,
ElectricEquipment,DryStorage_MiscPlug_Equip,Watts per Zone Floor Area,8.07,5.649,10.491,uniform,float,,
ElectricEquipment,Office_MiscPlug_Equip,Watts per Zone Floor Area,8.07,5.649,10.491,uniform,float,,
ElectricEquipment,Produce_MiscPlug_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
ElectricEquipment,Sales_MiscPlug_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
ElectricEquipment,Deli_Exhaust_Fan,Design Level,524,366.8,681.2,uniform,float,,
GasEquipment,Bakery_MiscGas_Equip,Design Level,5622,3935.4,7308.6,uniform,float,,
GasEquipment,Deli_MiscGas_Equip,Design Level,6053,4237.1,7868.9,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,13577,9503.9,17650.1,uniform,float,,
ZoneInfiltration:DesignFlowRate,Bakery_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Deli_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,DryStorage_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Office_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Produce_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Sales_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
Fan:ConstantVolume,PSZ-AC:1_Fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:ConstantVolume,PSZ-AC:1_Fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:ConstantVolume,PSZ-AC:1_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:2_Fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
Fan:ConstantVolume,PSZ-AC:2_Fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:ConstantVolume,PSZ-AC:2_Fan,Motor Efficiency,0.875,0.6125,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:3_Fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
Fan:ConstantVolume,PSZ-AC:3_Fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:ConstantVolume,PSZ-AC:3_Fan,Motor Efficiency,0.875,0.6125,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:4_Fan,Fan Efficiency,0.6006,0.4242,0.7878,uniform,float,,
Fan:ConstantVolume,PSZ-AC:4_Fan,Pressure Rise,1017.592,712.3144,1322.87,uniform,float,,
Fan:ConstantVolume,PSZ-AC:4_Fan,Motor Efficiency,0.924,0.6468,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:5_Fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
Fan:ConstantVolume,PSZ-AC:5_Fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:ConstantVolume,PSZ-AC:5_Fan,Motor Efficiency,0.875,0.6125,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:6_Fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
Fan:ConstantVolume,PSZ-AC:6_Fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:ConstantVolume,PSZ-AC:6_Fan,Motor Efficiency,0.875,0.6125,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:1_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:2_HeatC,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:3_HeatC,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:4_HeatC,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:5_HeatC,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:6_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:1_CoolC DXCoil,Rated COP,3.666684429,2.569,4.771,uniform,float,,
