Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.5,1.05,1.95,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.5,1.05,1.95,uniform,float,,
Lights,Bath_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,9.68,6.776,12.584,uniform,float,,
Lights,Cafeteria_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Computer_Class_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corner_Class_1_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corner_Class_1_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corner_Class_1_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corner_Class_2_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corner_Class_2_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corner_Class_2_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Corridor_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0002,
Lights,Corridor_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0002,
Lights,Corridor_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0002,
Lights,Gym_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Kitchen_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,12.91,9.037,16.783,uniform,float,,
Lights,Library_Media_Center_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,,
Lights,Lobby_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,,
Lights,Main_Corridor_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0002,
Lights,Mech_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,16.14,11.298,20.982,uniform,float,,
Lights,Mult_Class_1_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Mult_Class_1_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Mult_Class_1_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Mult_Class_2_Pod_1_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Mult_Class_2_Pod_2_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Mult_Class_2_Pod_3_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,G0001,
Lights,Offices_ZN_1_FLR_1_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,,
ElectricEquipment,Bath_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Cafeteria_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,25.39,17.773,33.007,uniform,float,,
ElectricEquipment,Computer_Class_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,20,14,26,uniform,float,,
ElectricEquipment,Corner_Class_1_Pod_1_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Corner_Class_1_Pod_2_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Corner_Class_1_Pod_3_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Corner_Class_2_Pod_1_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Corner_Class_2_Pod_2_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Corner_Class_2_Pod_3_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Corridor_Pod_1_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Corridor_Pod_2_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Corridor_Pod_3_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Gym_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,5,3.5,6.5,uniform,float,,
ElectricEquipment,Kitchen_ZN_1_FLR_1_ExhFan_Equip,Design Level,576,403.2,748.8,uniform,float,,
ElectricEquipment,Kitchen_ZN_1_FLR_1_MiscElec_Equip,Design Level,31996,22397.2,41594.8,uniform,float,,
ElectricEquipment,Library_Media_Center_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Lobby_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Main_Corridor_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Mech_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,4,2.8,5.2,uniform,float,,
ElectricEquipment,Mult_Class_1_Pod_1_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Mult_Class_1_Pod_2_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Mult_Class_1_Pod_3_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Mult_Class_2_Pod_1_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Mult_Class_2_Pod_2_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Mult_Class_2_Pod_3_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,15,10.5,19.5,uniform,float,G0003,
ElectricEquipment,Offices_ZN_1_FLR_1_PlugMisc_Equip,Watts per Zone Floor Area,10.8,7.56,10.04,uniform,float,,
GasEquipment,Kitchen_ZN_1_FLR_1_MiscGas_Equip,Design Level,160284,112198.8,208369.2,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,8575,612.5,1137.5,uniform,float,,
