Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,Dining_Lights,Watts per Zone Floor Area,22.6,15.82,29.38,uniform,float,,
Lights,Kitchen_Lights,Watts per Zone Floor Area,12.9,9.03,16.77,uniform,float,,
ElectricEquipment,Dining_MiscElec_Equip,Design Level,15000,10500,19500,uniform,float,,
ElectricEquipment,Kitchen_MiscElec_Equip,Design Level,35000,24500,45500,uniform,float,,
ElectricEquipment,Kitchen_ExhFan_Equip,Design Level,577,403.9,750.1,uniform,float,,
GasEquipment,Kitchen_MiscGas_Equip,Design Level,150055,105038.5,195071.5,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,2529,1770.3,3287.7,uniform,float,,
ZoneInfiltration:DesignFlowRate,Dining_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,,
ZoneInfiltration:DesignFlowRate,Kitchen_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,,
ZoneInfiltration:DesignFlowRate,attic_Infiltration,Air Changes per Hour,1,0.7,1.3,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC_1:1_HeatC,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC_2:2_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC_1:1_CoolC DXCoil,Rated High Speed COP,3.500159864,2.45,4.55,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC_1:1_CoolC DXCoil,Rated Low Speed COP,3.552271425,2.4864,4.6176,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC_2:2_CoolC DXCoil,Rated COP,3.666684429,2.56676,4.76668,uniform,float,,
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 4,30,21,39,uniform,float,CA1,HA2 - CA1 < -1
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 7,26,18.2,33.8,uniform,float,CA2,HA3 - CA2 < -1
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 9,30,21,39,uniform,float,CA3,HA4 - CA3 < -1
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 11,26,18.2,33.8,uniform,float,CA4,HA5 - CA4 < -1
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 4,15.6,10.92,20.28,uniform,float,HA1,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 7,19,13.3,27.7,uniform,float,HA2,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 10,19,13.3,27.7,uniform,float,HA3,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 12,15.6,10.92,20.28,uniform,float,HA4,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 14,19,13.3,27.7,uniform,float,HA5,
Schedule:Compact,CLGSETP_SCH,Field 4,30,21,39,uniform,float,CB1,HB2 - CB1 < -1
Schedule:Compact,CLGSETP_SCH,Field 7,24,16.8,31.2,uniform,float,CB2,HB3 - CB2 < -1
Schedule:Compact,CLGSETP_SCH,Field 9,30,21,39,uniform,float,CB3,HB4 - CB3 < -1
Schedule:Compact,CLGSETP_SCH,Field 11,24,16.8,31.2,uniform,float,CB4,HB5 - CB4 < -1
Schedule:Compact,HTGSETP_SCH,Field 4,15.6,10.92,20.28,uniform,float,HB1,
Schedule:Compact,HTGSETP_SCH,Field 7,21,14.7,27.3,uniform,float,HB2,
Schedule:Compact,HTGSETP_SCH,Field 10,21,14.7,27.3,uniform,float,HB3,
Schedule:Compact,HTGSETP_SCH,Field 12,15.6,10.92,20.28,uniform,float,HB4,
Schedule:Compact,HTGSETP_SCH,Field 14,21,14.7,27.3,uniform,float,HB5,
Schedule:Compact,MinOA_Sched,Field 4,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_Sched,Field 6,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 8,1,0.7,1.3,uniform,float,,
Refrigeration:CompressorRack,RACK1,Design Compressor Rack COP,1.5,1.05,1.95,uniform,float,,
Refrigeration:CompressorRack,RACK1,Design Condenser Fan Power,330,231,429,uniform,float,,
Refrigeration:CompressorRack,RACK2,Design Compressor Rack COP,3,2.1,3.9,uniform,float,,
Refrigeration:CompressorRack,RACK2,Design Condenser Fan Power,330,231,429,uniform,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Tank Volume,0.2,0.14,0.26,uniform,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Maximum Temperature Limit,82.2222,57.54,106.86,uniform,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Heater Maximum Capacity,845000,591500,1098500,uniform,float,,
