"","X","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"1",1,"Sizing:Parameters","Sizing_C_Parameters","Heating Sizing Factor",1.33,0.931,1.729,"uniform","float",1,NA,1.0906,1.5694
"2",2,"Sizing:Parameters","Sizing_C_Parameters","Cooling Sizing Factor",1.33,0.931,1.729,"uniform","float",1,NA,1.0906,1.5694
"3",3,"Lights","Banquet_Flr_6_Lights","Watts per Zone Floor Area",13.99,9.793,18.187,"uniform","float",2,NA,11.4718,16.5082
"4",4,"Lights","Basement_Lights","Watts per Zone Floor Area",10.76,7.532,13.988,"uniform","float",2,NA,8.8232,12.6968
"5",5,"Lights","Cafe_Flr_1_Lights","Watts per Zone Floor Area",13.99,9.793,18.187,"uniform","float",2,NA,11.4718,16.5082
"6",6,"Lights","Corridor_Flr_3_Lights","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA,4.4116,6.3484
"7",7,"Lights","Corridor_Flr_6_Lights","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA,4.4116,6.3484
"8",8,"Lights","Dining_Flr_6_Lights","Watts per Zone Floor Area",13.99,9.793,18.187,"uniform","float",2,NA,11.4718,16.5082
"9",9,"Lights","Kitchen_Flr_6_Lights","Watts per Zone Floor Area",12.91,9.037,16.783,"uniform","float",2,NA,10.5862,15.2338
"10",10,"Lights","Laundry_Flr_1_Lights","Watts per Zone Floor Area",6.46,4.522,8.398,"uniform","float",2,NA,5.2972,7.6228
"11",11,"Lights","Lobby_Flr_1_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"12",12,"Lights","Retail_1_Flr_1_Lights","Watts per Zone Floor Area",16.14,11.298,20.982,"uniform","float",2,NA,13.2348,19.0452
"13",13,"Lights","Retail_2_Flr_1_Lights","Watts per Zone Floor Area",16.14,11.298,20.982,"uniform","float",2,NA,13.2348,19.0452
"14",14,"Lights","Room_1_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"15",15,"Lights","Room_1_Flr_6_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"16",16,"Lights","Room_2_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"17",17,"Lights","Room_2_Flr_6_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"18",18,"Lights","Room_3_Mult19_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"19",19,"Lights","Room_3_Mult9_Flr_6_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"20",20,"Lights","Room_4_Mult19_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"21",21,"Lights","Room_5_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"22",22,"Lights","Room_6_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA,9.7088,13.9712
"23",23,"Lights","Storage_Flr_1_Lights","Watts per Zone Floor Area",9.68,6.776,12.584,"uniform","float",2,NA,7.9376,11.4224
"24",24,"ElectricEquipment","Banquet_Flr_6_MiscPlug_Equip","Design Level",22492,15744.4,29239.6,"uniform","float",3,NA,18443.44,26540.56
"25",25,"ElectricEquipment","Basement_MiscPlug_Equip","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA,4.4116,6.3484
"26",26,"ElectricEquipment","Cafe_Flr_1_MiscPlug_Equip","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA,4.4116,6.3484
"27",27,"ElectricEquipment","Dining_Flr_6_MiscPlug_Equip","Design Level",22492,15744.4,29239.6,"uniform","float",3,NA,18443.44,26540.56
"28",28,"ElectricEquipment","Kitchen_Flr_6_ExhFan_Equip","Design Level",698,488.6,907.4,"uniform","float",3,NA,572.36,823.64
"29",29,"ElectricEquipment","Kitchen_Flr_6_MiscElec_Equip","Design Level",52481,36736.7,68225.3,"uniform","float",3,NA,43034.42,61927.58
