"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"1",0,"10_SecondarySchool.xml.csv","ElectricEquipment","Kitchen_ZN_1_FLR_1_ExhFan_Equip","Design Level",699,489.3,908.7,"uniform","float",1,"",573.18,824.82
"2",0,"10_SecondarySchool.xml.csv","ElectricEquipment","Kitchen_ZN_1_FLR_1_MiscElec_Equip","Design Level",47994,33595.8,62392.2,"uniform","float",1,"",39355.08,56632.92
"3",0,"10_SecondarySchool.xml.csv","ElectricEquipment","Mech_ZN_1_FLR_1_Elevators_Equip","Design Level",32109.89011,22476.3,41741.7,"uniform","float",1,"",26329.38,37888.62
"4",0,"10_SecondarySchool.xml.csv","GasEquipment","Kitchen_ZN_1_FLR_1_MiscGas_Equip","Design Level",241713,169199.1,314226.9,"uniform","float",2,"",198204.66,285221.34
"5",0,"10_SecondarySchool.xml.csv","Exterior:Lights","Exterior Facade Lighting","Design Level",17927,12548.9,23305.1,"uniform","float",3,"",14700.14,21153.86
"6",0,"10_SecondarySchool.xml.csv","Fan:ConstantVolume","PSZ-AC_1:5_Fan","Fan Efficiency",0.6045,0.42315,0.78585,"uniform","float",4,"",0.49569,0.71331
"7",0,"10_SecondarySchool.xml.csv","Fan:ConstantVolume","PSZ-AC_1:5_Fan","Pressure Rise",1017.592,712.3144,13222.87,"uniform","float",4,"",3214.42552,10720.75888
"8",0,"10_SecondarySchool.xml.csv","Fan:ConstantVolume","PSZ-AC_1:5_Fan","Motor Efficiency",0.93,0.651,0.999,"uniform","float",4,"",0.7206,0.9294
"9",0,"10_SecondarySchool.xml.csv","Fan:ConstantVolume","PSZ-AC_2:6_Fan","Fan Efficiency",0.5915,0.41405,0.76895,"uniform","float",5,"",0.48503,0.69797
"10",0,"10_SecondarySchool.xml.csv","Fan:ConstantVolume","PSZ-AC_2:6_Fan","Motor Efficiency",0.91,0.637,0.999,"uniform","float",6,"",0.7094,0.9266
