"","comm.rank..","file","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"1",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 4",24,16.8,31.2,"uniform","float",1,"",19.68,28.32
"2",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 7",27,18.9,35.1,"uniform","float",2,"HA2 - CA2 < -1",22.14,31.86
"3",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 10",27,18.9,35.1,"uniform","float",2,"HA3 - CA3 < -1",22.14,31.86
"4",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 12",24,16.8,31.2,"uniform","float",3,"HA4 - CA4 < -1",19.68,28.32
"5",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 14",27,18.9,35.1,"uniform","float",2,"HA5 - CA5 < -1",22.14,31.86
"6",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 18",24,16.8,31.2,"uniform","float",3,"",19.68,28.32
"7",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 21",27,18.9,35.1,"uniform","float",2,"HA7 - CA7 < -1",22.14,31.86
"8",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 24",27,18.9,35.1,"uniform","float",2,"HA8 - CA8 < -1",22.14,31.86
"9",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 26",24,16.8,31.2,"uniform","float",3,"HA9 - CA9 < -1",19.68,28.32
"10",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 28",27,18.9,35.1,"uniform","float",2,"",22.14,31.86
"11",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 32",24,16.8,31.2,"uniform","float",3,"HA11 - CA11 < -1",19.68,28.32
"12",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 35",27,18.9,35.1,"uniform","float",2,"HA12 - CA12 < -1",22.14,31.86
"13",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 38",27,18.9,35.1,"uniform","float",2,"HA13 - CA13 < -1",22.14,31.86
"14",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 40",24,16.8,31.2,"uniform","float",3,"HA14 - CA14 < -1",19.68,28.32
"15",0,"10_SecondarySchool.xml.csv","Schedule:Compact","CLGSETP_SCH","Field 42",27,18.9,35.1,"uniform","float",2,"HA15 - CA15 < -1",22.14,31.86
