Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,Back_Space_Lights,Watts per Zone Floor Area,8.61,6.027,11.193,uniform,float,,
Lights,Core_Retail_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
Lights,Front_Entry_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,,
Lights,Front_Retail_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
Lights,Point_Of_Sale_Lights,Watts per Zone Floor Area,18.29,12.803,23.777,uniform,float,,
ElectricEquipment,Back_Space_MiscPlug_Equip,Watts per Zone Floor Area,8.07,5.649,10.491,uniform,float,,
ElectricEquipment,Core_Retail_MiscPlug_Equip,Watts per Zone Floor Area,3.23,2.261,4.199,uniform,float,,
ElectricEquipment,Front_Retail_MiscPlug_Equip,Watts per Zone Floor Area,3.23,2.261,4.199,uniform,float,,
ElectricEquipment,Point_Of_Sale_MiscPlug_Equip,Watts per Zone Floor Area,21.52,15.064,27.976,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,8266,5786.2,10745.8,uniform,float,,
ZoneInfiltration:DesignFlowRate,Back_Space_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Core_Retail_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Front_Entry_Infiltration,Air Changes per Hour,1,0.7,1.3,uniform,float,,
ZoneInfiltration:DesignFlowRate,Front_Retail_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
ZoneInfiltration:DesignFlowRate,Point_Of_Sale_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0001,
Fan:OnOff,PSZ-AC:1_Unitary_Package_fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
Fan:OnOff,PSZ-AC:1_Unitary_Package_fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:OnOff,PSZ-AC:1_Unitary_Package_fan,Motor Efficiency,0.875,0.6125,0.999,uniform,float,,
Fan:OnOff,PSZ-AC:2_Unitary_Package_fan,Fan Efficiency,0.5915,0.41405,0.76895,uniform,float,,
Fan:OnOff,PSZ-AC:2_Unitary_Package_fan,Pressure Rise,1109.648,776.75,1442.542,uniform,float,,
Fan:OnOff,PSZ-AC:2_Unitary_Package_fan,Motor Efficiency,0.91,0.637,0.999,uniform,float,,
Fan:OnOff,PSZ-AC:3_Unitary_Package_fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:OnOff,PSZ-AC:3_Unitary_Package_fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:OnOff,PSZ-AC:3_Unitary_Package_fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Fan:OnOff,PSZ-AC:4_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC:4_Unitary_Package_fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:OnOff,PSZ-AC:4_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:1_Unitary_Package_HeatCoil,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:2_Unitary_Package_HeatCoil,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:3_Unitary_Package_HeatCoil,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:4_Unitary_Package_HeatCoil,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:1_Unitary_Package_CoolCoil,Rated COP,3.500159864,2.45,4.55,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:2_Unitary_Package_CoolCoil,Rated COP,3.233720558,2.263,4.2,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:3_Unitary_Package_CoolCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:4_Unitary_Package_CoolCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Schedule:Compact,CLGSETP_SCH,Field 4,30,21,39,uniform,float,CA1,HA1 - CA1 < -1
Schedule:Compact,CLGSETP_SCH,Field 6,24,16.8,31.2,uniform,float,CA2,HA2 - CA2 < -1
Schedule:Compact,CLGSETP_SCH,Field 8,30,21,39,uniform,float,CA3,HA3 - CA3 < -1
Schedule:Compact,CLGSETP_SCH,Field 11,30,21,39,uniform,float,CA4,HA6 - CA4 < -1
Schedule:Compact,CLGSETP_SCH,Field 13,24,16.8,31.2,uniform,float,CA5,HA7 - CA5 < -1
Schedule:Compact,CLGSETP_SCH,Field 15,30,21,39,uniform,float,CA6,HA8 - CA6 < -1
Schedule:Compact,CLGSETP_SCH,Field 18,30,21,39,uniform,float,CA7,HA5 - CA7 < -1
Schedule:Compact,CLGSETP_SCH,Field 21,30,21,39,uniform,float,CA8,HA9 - CA8 < -1
Schedule:Compact,CLGSETP_SCH,Field 23,24,16.8,31.2,uniform,float,CA9,HA10 - CA9 < -1
