Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,Core_ZN_Lights,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0001,
Lights,Perimeter_ZN_1_Lights,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0001,
Lights,Perimeter_ZN_2_Lights,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0001,
Lights,Perimeter_ZN_3_Lights,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0001,
Lights,Perimeter_ZN_4_Lights,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0001,
ElectricEquipment,Core_ZN_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0002,
ElectricEquipment,Perimeter_ZN_1_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0002,
ElectricEquipment,Perimeter_ZN_2_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0002,
ElectricEquipment,Perimeter_ZN_3_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0002,
ElectricEquipment,Perimeter_ZN_4_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.536,13.988,uniform,float,G0002,
Exterior:Lights,Exterior Facade Lighting,Design Level,2303,1612.1,2993.9,uniform,float,,
ZoneInfiltration:DesignFlowRate,Core_ZN_Infiltration,Air Changes per Hour,0.36,0.252,0.468,uniform,float,,
ZoneInfiltration:DesignFlowRate,Perimeter_ZN_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0003,
ZoneInfiltration:DesignFlowRate,Perimeter_ZN_2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0003,
ZoneInfiltration:DesignFlowRate,Perimeter_ZN_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0003,
ZoneInfiltration:DesignFlowRate,Perimeter_ZN_4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0003,
ZoneInfiltration:DesignFlowRate,Attic_Infiltration,Air Changes per Hour,1,0.7,1.3,uniform,float,,
Fan:ConstantVolume,PSZ-AC:1_Fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:ConstantVolume,PSZ-AC:1_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC:1_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:2_Fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:ConstantVolume,PSZ-AC:2_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC:2_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:3_Fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:ConstantVolume,PSZ-AC:3_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC:3_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:4_Fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:ConstantVolume,PSZ-AC:4_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC:4_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC:5_Fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:ConstantVolume,PSZ-AC:5_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC:5_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:1_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:2_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:3_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:4_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,PSZ-AC:5_HeatC,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:1_CoolC DXCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:2_CoolC DXCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:3_CoolC DXCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:4_CoolC DXCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC:5_CoolC DXCoil,Rated COP,3.666684429,2.5669,4.7671,uniform,float,,
Schedule:Compact,CLGSETP_SCH,Field 4,26.7,18.69,34.71,uniform,float,CA1,HA1 - CA1 < -1
Schedule:Compact,CLGSETP_SCH,Field 6,24,16.8,31.2,uniform,float,CA2,HA2 - CA2 < -1
