Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,BulkStorage_Lights,Watts per Zone Floor Area,10.5,7.35,13.65,uniform,float,,
Lights,FineStorage_Lights,Watts per Zone Floor Area,16,11.2,20.8,uniform,float,,
Lights,Office_Lights,Watts per Zone Floor Area,13,9.1,16.9,uniform,float,,
ElectricEquipment,BulkStorage_MiscPlug_Equip,Watts per Zone Floor Area,2.7,1.89,3.51,uniform,float,,
ElectricEquipment,Office_MiscPlug_Equip,Watts per Zone Floor Area,9,6.3,11.7,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,8923,6246.1,11599.9,uniform,float,,
ZoneInfiltration:DesignFlowRate,BulkStorage_Infiltration,Flow per Exterior Surface Area,0.00033,0.000231,0.000429,uniform,float,G001,
ZoneInfiltration:DesignFlowRate,FineStorage_Infiltration,Flow per Exterior Surface Area,0.00033,0.000231,0.000429,uniform,float,G001,
ZoneInfiltration:DesignFlowRate,Office_Infiltration,Flow per Exterior Surface Area,0.00033,0.000231,0.000429,uniform,float,G001,
Fan:OnOff,FURNACE_PACU_CAV_1:1_Unitary_Package_fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:OnOff,FURNACE_PACU_CAV_1:1_Unitary_Package_fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:OnOff,FURNACE_PACU_CAV_1:1_Unitary_Package_fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Fan:OnOff,FURNACE_PACU_CAV_2:2_Unitary_Package_fan,Fan Efficiency,0.5915,0.41405,0.76895,uniform,float,,
Fan:OnOff,FURNACE_PACU_CAV_2:2_Unitary_Package_fan,Pressure Rise,1109.648,776.7536,1442.542,uniform,float,,
Fan:OnOff,FURNACE_PACU_CAV_2:2_Unitary_Package_fan,Motor Efficiency,0.91,0.637,0.999,uniform,float,,
Coil:Heating:Gas,BulkStorage Unit Heater Coil,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Heating:Gas,FURNACE_PACU_CAV_1:1_Unitary_Package_HeatCoil,Gas Burner Efficiency,0.8,0.56,0.999,uniform,float,,
Coil:Heating:Gas,FURNACE_PACU_CAV_2:2_Unitary_Package_HeatCoil,Gas Burner Efficiency,0.78,0.546,0.999,uniform,float,,
Coil:Cooling:DX:SingleSpeed,FURNACE_PACU_CAV_1:1_Unitary_Package_CoolCoil,Rated COP,3.500159864,2.45,4.55,uniform,float,,
Coil:Cooling:DX:SingleSpeed,FURNACE_PACU_CAV_2:2_Unitary_Package_CoolCoil,Rated COP,3.233720558,2.261,4.199,uniform,float,,
Schedule:Compact,CLGSETP_FineStorage_SCH,Field 4,26.7,18.69,34.71,uniform,float,CA1,HA1 - CA1 < -1
Schedule:Compact,CLGSETP_SCH,Field 4,30,21,39,uniform,float,CB1,HB1 - CB1 < -1
Schedule:Compact,CLGSETP_SCH,Field 6,24,16.8,31.2,uniform,float,CB2,HB2 - CB2 < -1
Schedule:Compact,CLGSETP_SCH,Field 8,30,21,39,uniform,float,CB3,HB3 - CB3 < -1
Schedule:Compact,CLGSETP_SCH,Field 11,30,21,39,uniform,float,CB4,HB5 - CB4 < -1
Schedule:Compact,CLGSETP_SCH,Field 13,24,16.8,31.2,uniform,float,CB5,HB6 - CB5 < -1
Schedule:Compact,CLGSETP_SCH,Field 15,30,21,39,uniform,float,CB6,HB7 - CB6 < -1
Schedule:Compact,CLGSETP_SCH,Field 18,30,21,39,uniform,float,CB7,HB8 - CB7 < -1
Schedule:Compact,HTGSETP_BulkStorage_SCH,Field 4,7.2,5.04,9.36,uniform,float,,
Schedule:Compact,HTGSETP_FineStorage_SCH,Field 4,15.6,10.92,20.28,uniform,float,HA1,
Schedule:Compact,HTGSETP_SCH,Field 4,15.5,10.85,20.15,uniform,float,HB1,
Schedule:Compact,HTGSETP_SCH,Field 6,21,14.7,27.3,uniform,float,HB2,
Schedule:Compact,HTGSETP_SCH,Field 8,15.5,10.85,20.15,uniform,float,HB3,
Schedule:Compact,HTGSETP_SCH,Field 11,21,14.7,27.3,uniform,float,HB4,
Schedule:Compact,HTGSETP_SCH,Field 14,15.5,10.85,20.15,uniform,float,HB5,
Schedule:Compact,HTGSETP_SCH,Field 16,21,14.7,27.3,uniform,float,HB6,
Schedule:Compact,HTGSETP_SCH,Field 18,15.5,10.85,20.15,uniform,float,HB7,
Schedule:Compact,HTGSETP_SCH,Field 21,15.5,10.85,20.15,uniform,float,HB8,
Schedule:Compact,MinOA_Sched,Field 4,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 6,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_Sched,Field 8,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 11,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 13,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_Sched,Field 15,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 18,0,0,0.3,exponential,float,,
