Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,Dining_Lights,Watts per Zone Floor Area,22.6,15.82,29.38,uniform,float,,
Lights,Kitchen_Lights,Watts per Zone Floor Area,12.9,9.03,16.77,uniform,float,,
ElectricEquipment,Dining_MiscElec_Equip,Design Level,22402,15681.4,29122.6,uniform,float,,
ElectricEquipment,Kitchen_MiscElec_Equip,Design Level,52500,36750,68250,uniform,float,,
ElectricEquipment,Kitchen_ExhFan_Equip,Design Level,699,489.3,908.7,uniform,float,,
GasEquipment,Kitchen_MiscGas_Equip,Design Level,166994,116895.8,217092.2,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,4235,2964.5,5505.5,uniform,float,,
ZoneInfiltration:DesignFlowRate,Dining_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,,
ZoneInfiltration:DesignFlowRate,Kitchen_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,,
ZoneInfiltration:DesignFlowRate,attic_Infiltration,Air Changes per Hour,1,0.7,1.3,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Motor Efficiency,0.875,0.6125,1,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:1_Fan,Motor In Airstream Fraction,1,0.7,1,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Motor Efficiency,0.84,0.588,1,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:2_Fan,Motor In Airstream Fraction,1,0.7,1,uniform,float,,
Coil:Heating:Gas,PSZ-AC_1:1_HeatC,Gas Burner Efficiency,0.78,0.546,1,uniform,float,,
Coil:Heating:Gas,PSZ-AC_2:2_HeatC,Gas Burner Efficiency,0.8,0.56,1,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC_1:1_CoolC DXCoil,Rated High Speed COP,3.233720558,2.263,4.2,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC_1:1_CoolC DXCoil,Rated Low Speed COP,3.281865281,2.297,4.27,uniform,float,,
Coil:Cooling:DX:SingleSpeed,PSZ-AC_2:2_CoolC DXCoil,Rated COP,3.666684429,2.567,4.7667,uniform,float,,
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 4,30,21,39,uniform,float,CA1,HA2 - CA1 < -1
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 7,26,18.2,33.8,uniform,float,CA2,HA3 - CA2 < -1
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 9,30,21,39,uniform,float,CA3,HA4 - CA3 < -1
Schedule:Compact,CLGSETP_KITCHEN_SCH,Field 11,26,18.2,33.8,uniform,float,CA4,HA5 - CA4 < -1
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 4,15.6,10.92,20.28,uniform,float,HA1,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 7,19,13.3,24.7,uniform,float,HA2,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 10,19,13.3,24.7,uniform,float,HA3,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 12,15.6,10.92,20.28,uniform,float,HA4,
Schedule:Compact,HTGSETP_KITCHEN_SCH,Field 14,19,13.3,24.7,uniform,float,HA5,
Schedule:Compact,CLGSETP_SCH,Field 4,30,21,39,uniform,float,CB1,HB2 - CB1 < -1
Schedule:Compact,CLGSETP_SCH,Field 7,24,16.8,31.2,uniform,float,CB2,HB3 - CB2 < -1
Schedule:Compact,CLGSETP_SCH,Field 9,30,21,39,uniform,float,CB3,HB4 - CB3 < -1
Schedule:Compact,CLGSETP_SCH,Field 11,24,16.8,31.2,uniform,float,CB4,HB5 - CB4 < -1
Schedule:Compact,HTGSETP_SCH,Field 4,15.6,10.92,20.28,uniform,float,HB1,
Schedule:Compact,HTGSETP_SCH,Field 7,21,14.7,27.3,uniform,float,HB2,
Schedule:Compact,HTGSETP_SCH,Field 10,21,14.7,27.3,uniform,float,HB3,
Schedule:Compact,HTGSETP_SCH,Field 12,15.6,10.92,20.28,uniform,float,HB4,
Schedule:Compact,HTGSETP_SCH,Field 14,21,14.7,27.3,uniform,float,HB5,
Schedule:Compact,MinOA_Sched,Field 6,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 8,1,0.7,1.3,uniform,float,,
Refrigeration:CompressorRack,RACK1,Design Compressor Rack COP,1.5,1.05,1.95,uniform,float,,
Refrigeration:CompressorRack,RACK1,Design Condenser Fan Power,330,231,429,uniform,float,,
Refrigeration:CompressorRack,RACK2,Design Compressor Rack COP,3,2.1,3.9,uniform,float,,
Refrigeration:CompressorRack,RACK2,Design Condenser Fan Power,330,231,429,uniform,float,,
