Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.2,0.84,1.56,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.2,0.84,1.56,uniform,float,,
Lights,Basement_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0005,
Lights,Corridor_Flr_1_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Corridor_Flr_2_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Corridor_Flr_5_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Corridor_NW_Flr_3_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Corridor_NW_Flr_4_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Corridor_SE_Flr_3_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Corridor_SE_Flr_4_Lights,Watts per Zone Floor Area,10.76,10.76,13.988,uniform,float,G0001,
Lights,Dining_Flr_5_Lights,Watts per Zone Floor Area,9.68,6.776,12.584,uniform,float,,
Lights,ER_Exam1_Mult4_Flr_1_Lights,Watts per Zone Floor Area,29.05,20.335,37.765,uniform,float,G0002,
Lights,ER_Exam3_Mult4_Flr_1_Lights,Watts per Zone Floor Area,29.05,20.335,37.765,uniform,float,G0002,
Lights,ER_NurseStn_Lobby_Flr_1_Lights,Watts per Zone Floor Area,12.05,8.435,15.665,uniform,float,,
Lights,ER_Trauma1_Flr_1_Lights,Watts per Zone Floor Area,29.05,20.335,37.765,uniform,float,G0002,
Lights,ER_Trauma2_Flr_1_Lights,Watts per Zone Floor Area,29.05,20.335,37.765,uniform,float,G0002,
Lights,ER_Triage_Mult4_Flr_1_Lights,Watts per Zone Floor Area,29.05,20.335,37.765,uniform,float,G0002,
Lights,ICU_Flr_2_Lights,Watts per Zone Floor Area,8.61,6.027,11.193,uniform,float,,
Lights,ICU_NurseStn_Lobby_Flr_2_Lights,Watts per Zone Floor Area,12.05,8.435,15.665,uniform,float,,
Lights,IC_PatRoom1_Mult5_Flr_2_Lights,Watts per Zone Floor Area,8.61,6.027,11.193,uniform,float,,
Lights,IC_PatRoom2_Flr_2_Lights,Watts per Zone Floor Area,8.61,6.027,11.193,uniform,float,,
Lights,IC_PatRoom3_Mult6_Flr_2_Lights,Watts per Zone Floor Area,8.61,6.027,11.193,uniform,float,,
Lights,Kitchen_Flr_5_Lights,Watts per Zone Floor Area,12.91,9.037,16.783,uniform,float,,
Lights,Lab_Flr_3_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,,
Lights,Lab_Flr_4_Lights,Watts per Zone Floor Area,15.06,10.542,19.578,uniform,float,,
Lights,Lobby_Records_Flr_1_Lights,Watts per Zone Floor Area,15.82,11.074,20.566,uniform,float,,
Lights,NurseStn_Lobby_Flr_3_Lights,Watts per Zone Floor Area,12.7,8.89,16.51,uniform,float,G0003,
Lights,NurseStn_Lobby_Flr_4_Lights,Watts per Zone Floor Area,12.7,8.89,16.51,uniform,float,G0003,
Lights,NurseStn_Lobby_Flr_5_Lights,Watts per Zone Floor Area,12.7,8.89,16.51,uniform,float,G0003,
Lights,OR1_Flr_2_Lights,Watts per Zone Floor Area,23.67,16.569,30.771,uniform,float,G0004,
Lights,OR2_Mult5_Flr_2_Lights,Watts per Zone Floor Area,23.67,16.569,30.771,uniform,float,G0004,
Lights,OR3_Flr_2_Lights,Watts per Zone Floor Area,23.67,16.569,30.771,uniform,float,G0004,
Lights,OR4_Flr_2_Lights,Watts per Zone Floor Area,23.67,16.569,30.771,uniform,float,G0004,
Lights,OR_NurseStn_Lobby_Flr_2_Lights,Watts per Zone Floor Area,12.7,8.89,16.51,uniform,float,G0003,
Lights,Office1_Flr_5_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0005,
Lights,Office1_Mult4_Flr_1_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0005,
Lights,Office2_Mult5_Flr_5_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0005,
Lights,Office3_Flr_5_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0005,
Lights,Office4_Mult6_Flr_5_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0005,
Lights,PatRoom1_Mult10_Flr_3_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom1_Mult10_Flr_4_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom2_Flr_3_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom2_Flr_4_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom3_Mult10_Flr_3_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom3_Mult10_Flr_4_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom4_Flr_3_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom4_Flr_4_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
Lights,PatRoom5_Mult10_Flr_3_Lights,Watts per Zone Floor Area,7.53,5.271,9.789,uniform,float,G0006,
