Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.33,0.931,1.729,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.33,0.931,1.729,uniform,float,,
Lights,Office_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,G0001,
Lights,G Corridor_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,M Corridor_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,T Corridor_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Lights,G SW Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,G NW Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,G NE Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,G N1 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,G N2 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,G S1 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,G S2 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M SW Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M NW Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M SE Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M NE Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M N1 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M N2 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M S1 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,M S2 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T SW Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T NW Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T SE Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T NE Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T N1 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T N2 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T S1 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
Lights,T S2 Apartment_Lights,Watts per Zone Floor Area,3.88,2.716,5.044,uniform,float,G0002,
ElectricEquipment,Office_PlugMisc_Equip,Watts per Zone Floor Area,12.9,9.03,16.77,uniform,float,,
ElectricEquipment,G Corridor_Elevators_Equip,Design Level,16054.94505,11238.46,20871.43,uniform,float,,
ElectricEquipment,G SW Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,G NW Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,G NE Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,G N2 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,G S1 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,G S2 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M SW Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M NW Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M SE Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M NE Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M N1 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M N2 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M S1 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,M S2 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T SW Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T NW Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T SE Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T NE Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T N1 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T N2 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T S1 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
ElectricEquipment,T S2 Apartment_PlugMisc_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,G0003,
Exterior:Lights,Exterior Facade Lighting,Design Level,5357,3875.9,7198.1,uniform,float,,
ZoneInfiltration:DesignFlowRate,Office_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G Corridor_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M Corridor_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,T Corridor_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G SW Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G NW Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G NE Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G N1 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G N2 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G S1 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,G S2 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M SW Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M NW Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M SE Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M NE Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M N1 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M N2 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,M S1 Apartment_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
